id;barman_login_time;cashup_time;start_cash;end_cash;total_sale;cash_taken_by_manager;cash_taken_by_boss;comment
1;2019-10-26T12:28:45;2019-10-26T02:21:04;95071;18343;73199;77969;59865;Table Computer
2;2019-10-26T20:04:26;2019-10-26T10:26:46;86617;33370;60111;14286;70807;Movies Producer
3;2019-10-26T01:29:22;2019-10-25T22:56:35;21233;77;18182;99221;18340;methodology Albania
4;2019-10-26T11:06:05;2019-10-26T20:54:52;29122;52477;61185;39986;13949;zero administration
5;2019-10-26T12:40:31;2019-10-26T15:52:53;45606;9060;78517;61838;19967;Cambridgeshire Mississippi
6;2019-10-26T20:21:11;2019-10-26T00:49:47;60754;68030;17052;45049;6505;Factors
7;2019-10-25T22:17:35;2019-10-26T07:56:57;80839;38541;30461;1596;9767;Nakfa
8;2019-10-26T10:54:16;2019-10-26T05:04:11;12203;60999;49517;83319;3438;Regional
9;2019-10-26T15:15:26;2019-10-26T17:05:40;66252;75536;31171;42515;52006;Mayotte
10;2019-10-26T17:01:53;2019-10-26T20:42:59;96958;84228;77513;44975;93949;Chief Credit Card Account
