id;opening_time;closing_time;total;comment;order_id
1;2019-10-26T12:36:09;2019-10-26T02:28:28;95071;application;59865
2;2019-10-26T07:16:02;2019-10-26T17:50:49;44583;Small;45924
3;2019-10-26T00:48:12;2019-10-26T13:34:57;60111;alarm;2058
4;2019-10-26T20:14:15;2019-10-25T22:18:50;72199;Implementation Electronics Officer;61748
5;2019-10-26T14:17:23;2019-10-26T06:54:43;52475;web-readiness;29122
6;2019-10-26T08:59:49;2019-10-26T06:54:25;39986;Gorgeous Frozen Pants;23277
7;2019-10-26T10:38:45;2019-10-26T19:25:01;78517;grey Cambridgeshire;59241
8;2019-10-26T10:23:21;2019-10-26T20:28:36;85994;Yuan Renminbi Centers;1326
9;2019-10-25T22:49:06;2019-10-25T22:58:44;96563;cross-platform access;9767
10;2019-10-26T16:03:00;2019-10-26T05:10:12;24102;Bahamian Dollar Investment Account;83319
