id;total;comment;opening_time;closing_time;order_id
1;37454;Directives application Home Loan Account;2019-10-26T17:54:53;2019-10-26T10:57:34;15599
2;9997;Trace;2019-10-26T13:39:01;2019-10-26T07:13:58;14286
3;70807;Movies Producer;2019-10-26T01:40:51;2019-10-25T23:08:03;21233
4;77;Officer;2019-10-26T06:50:23;2019-10-26T14:21:27;61165
5;52475;web-readiness;2019-10-26T14:40:11;2019-10-26T09:03:53;61185
6;39986;Gorgeous Frozen Pants;2019-10-26T16:04:22;2019-10-26T10:42:49;9060
7;78517;grey Cambridgeshire;2019-10-26T07:26:29;2019-10-26T10:27:25;4645
8;85994;Yuan Renminbi Centers;2019-10-26T21:20:27;2019-10-25T22:53:11;94220
9;96563;cross-platform access;2019-10-26T19:18:55;2019-10-26T16:07:04;68423
10;24102;Bahamian Dollar Investment Account;2019-10-26T01:39:46;2019-10-26T20:50:02;17336
