id;name;purch_price_net;sell_price_gross;active;purch_price_gross;purch_vat_value;sell_price_net;sell_vat_value
1;mobile Fish;77969;59865;true;15601;44583;15599;9997
2;Trace;33370;60111;false;70807;65088;2058;5641
3;transmitter Implementation Electronics;99221;18340;true;30424;61165;52475;706
4;Home Namibia;39986;13949;false;29214;97375;36636;23277
5;Licensed Savings Account;38246;51423;true;59241;46676;4645;85994
6;Yuan Renminbi Centers;1326;94888;true;96563;56328;80839;38541
7;Music;23089;68423;false;44015;68326;12203;60999
8;backing up Salad;39106;25877;false;66252;75536;31171;42515
9;sky blue Georgia;3131;96958;true;77513;44975;93949;39515
10;Communications capacitor archive;57044;19598;true;4522;96117;32533;84453
