id;name;delivery_date;quantity;purch_price_gross;sell_price_gross;purch_price_net;purch_vat_value;sell_price_net;sell_vat_value
1;mobile Fish;2019-10-26;59865;59685;15601;44583;15599;9997;5808
2;FTP Savings Account;2019-10-26;65088;2058;5641;96990;72199;83244;93855
3;Electronics;2019-10-25;18340;61748;30424;61165;52475;706;43194
4;intangible;2019-10-26;39986;13949;4666;29214;97375;36636;23277
5;Licensed Savings Account;2019-10-26;51423;98323;59241;46676;4645;85994;60754
6;Table Small Frozen Sausages Planner;2019-10-26;38541;30461;1596;9767;23089;68423;24102
7;Bahamian Dollar Investment Account;2019-10-26;3438;17336;90932;39106;25877;18223;66252
8;hardware Costa Rica Mayotte;2019-10-26;3131;96958;84228;77513;44975;93949;39515
9;Communications capacitor archive;2019-10-26;19598;52083;4522;96117;32533;84453;38867
10;interactive generating compelling;2019-10-26;60703;54269;27599;14092;29627;80219;16526
