id;delivery_date;quantity;purch_price_net;purch_price_gross;purch_vat_value;sell_price_net;sell_price_gross;sell_vat_value
1;2019-10-26;79654;95071;18343;73199;77969;59865;59685
2;2019-10-26;44583;15599;9997;5808;45924;86617;33370
3;2019-10-26;14286;70807;65088;2058;5641;96990;72199
4;2019-10-26;93855;21233;77;18182;99221;18340;61748
5;2019-10-26;61165;52475;706;43194;2306;29122;52477
6;2019-10-26;39986;13949;4666;29214;97375;36636;23277
7;2019-10-26;9060;78517;61838;19967;38246;51423;98323
8;2019-10-26;46676;4645;85994;60754;68030;17052;45049
9;2019-10-26;1326;94888;94220;96563;56328;80839;38541
10;2019-10-26;1596;9767;23089;68423;24102;44015;68326
