id;ordered_time;accepted_time;finished_time;taken_time;quantity;comment;purch_price_net;purch_price_gross;purch_vat_value;sell_price_net;sell_price_gross;sell_vat_value;difference;delivery_date;order_position;send_time
1;2019-10-26T12:38:05;2019-10-26T02:30:24;2019-10-25T22:48:24;2019-10-26T17:13:16;73199;Home Loan Account Table Computer;5808;45924;86617;33370;60111;14286;70807;2019-10-26;2058;2019-10-26T20:16:11
2;2019-10-25T22:20:45;2019-10-26T04:17:45;2019-10-26T01:38:42;2019-10-25T23:05:54;21233;Chips;18340;61748;30424;61165;52475;706;43194;2019-10-26;29122;2019-10-26T09:01:44
3;2019-10-26T06:56:21;2019-10-26T12:01:37;2019-10-26T18:16:32;2019-10-26T20:30:13;29214;24/7 Common bluetooth;19967;38246;51423;98323;59241;46676;4645;2019-10-26;60754;2019-10-26T05:17:47
4;2019-10-26T17:31:51;2019-10-26T10:48:42;2019-10-26T20:03:44;2019-10-26T21:18:18;94888;Planner cross-platform access;9767;23089;68423;24102;44015;68326;12203;2019-10-26;49517;2019-10-26T01:37:37
5;2019-10-26T20:47:53;2019-10-26T17:27:46;2019-10-25T23:48:00;2019-10-26T12:14:17;25877;invoice;31171;42515;52006;20794;54671;56770;18485;2019-10-26;96958;2019-10-26T01:24:32
6;2019-10-26T03:01:14;2019-10-26T10:49:46;2019-10-25T23:04:33;2019-10-26T12:08:24;89482;Credit Card Account National Awesome;19598;52083;4522;96117;32533;84453;38867;2019-10-26;27134;2019-10-26T08:40:16
7;2019-10-26T01:44:02;2019-10-26T07:32:30;2019-10-26T13:03:41;2019-10-25T22:27:27;28093;Faroe Islands Plastic;80219;16526;7455;1563;98688;42340;77224;2019-10-26;19871;2019-10-26T14:34:47
8;2019-10-26T21:29:27;2019-10-26T21:17:08;2019-10-26T02:03:09;2019-10-26T16:51:05;70685;application quantify Unbranded Plastic Tuna;11586;91495;86310;85003;62329;44945;33089;2019-10-26;6355;2019-10-26T12:43:26
9;2019-10-26T14:09:36;2019-10-26T05:34:17;2019-10-26T13:49:09;2019-10-26T05:38:29;72960;withdrawal COM;47221;38292;11959;97171;71324;84891;76078;2019-10-26;56127;2019-10-26T15:57:36
10;2019-10-26T03:07:14;2019-10-26T15:28:40;2019-10-26T09:46:21;2019-10-26T20:39:11;52273;partnerships Grocery Intelligent;3142;89576;63641;47537;31435;56327;50857;2019-10-26;90756;2019-10-26T18:16:46
