id;ordered_time;accepted_time;finished_time;taken_time;quantity;comment;purch_price_net;purch_price_gross;purch_vat_value;sell_price_net;sell_price_gross;sell_vat_value;difference;delivery_date;send_time
1;2019-10-26T12:38:38;2019-10-26T02:30:57;2019-10-25T22:48:57;2019-10-26T17:13:49;73199;Home Loan Account Table Computer;5808;45924;86617;33370;60111;14286;70807;2019-10-26;2019-10-26T21:08:19
2;2019-10-26T20:16:44;2019-10-25T22:21:18;2019-10-26T04:18:17;2019-10-26T01:39:15;93855;Electronics;99221;18340;61748;30424;61165;52475;706;2019-10-26;2019-10-26T21:04:45
3;2019-10-26T14:38:36;2019-10-26T09:02:17;2019-10-26T06:56:54;2019-10-26T12:02:10;13949;zero administration;36636;23277;45606;9060;78517;61838;19967;2019-10-26;2019-10-26T09:17:28
4;2019-10-25T22:02:07;2019-10-26T07:24:53;2019-10-26T10:25:50;2019-10-26T20:31:04;85994;Yuan Renminbi Centers;1326;94888;94220;96563;56328;80839;38541;2019-10-26;2019-10-26T21:14:58
5;2019-10-26T19:17:19;2019-10-26T16:05:28;2019-10-26T05:12:40;2019-10-26T15:50:53;44015;Rubber Buckinghamshire Games;90932;39106;25877;18223;66252;75536;31171;2019-10-26;2019-10-26T09:09:04
6;2019-10-26T16:38:31;2019-10-26T08:30:42;2019-10-26T08:00:29;2019-10-26T17:11:46;3131;synthesizing Views e-enable;92665;59789;72727;92187;32654;8849;57044;2019-10-26;2019-10-26T09:07:58
7;2019-10-26T20:32:50;2019-10-25T22:33:53;2019-10-26T13:49:29;2019-10-26T01:21:51;38867;interactive generating compelling;28093;60703;54269;27599;14092;29627;80219;2019-10-26;2019-10-26T19:50:36
8;2019-10-26T21:15:26;2019-10-25T21:56:51;2019-10-26T11:28:16;2019-10-26T03:05:56;39488;24 hour;1407;81546;19884;70685;71134;72900;79017;2019-10-26;2019-10-26T07:05:23
9;2019-10-26T19:51:20;2019-10-25T23:24:06;2019-10-26T13:01:46;2019-10-26T06:00:25;11586;IB Investment Account archive;6355;37081;31098;66884;32518;66592;72960;2019-10-26;2019-10-26T06:19:53
10;2019-10-26T15:02:22;2019-10-26T00:20:23;2019-10-26T08:09:47;2019-10-26T10:17:59;38292;Developer;84891;76078;72172;56127;23598;77096;25606;2019-10-26;2019-10-26T20:39:44
