id;name;country;address;zip_code;city;vat_number;licence_date;licence_type;next_licence_type;ads_level;currency;created_date
1;mobile Fish;Sao Tome and Principe;Savings Account Dam;04836;New Mactown;Producer;2019-10-26;red Chips Soap;Home Loan Account;706;Home Namibia;2019-10-26
2;Gorgeous Frozen Pants;Denmark;Licensed Savings Account;59540;Moenfurt;Centers;2019-10-26;Usability South Dakota envisioneer;Intelligent;68423;infomediaries;2019-10-26
3;Buckinghamshire Games;Tunisia;Digitized invoice;45255;North Wadehaven;Views e-enable Communications;2019-10-26;archive Georgia Aruba;software scale interactive;82873;compelling mission-critical;2019-10-26
4;Plastic;Sierra Leone;Small;47312-0081;Merlechester;quantify Unbranded Plastic Tuna Frozen;2019-10-26;Investment Account archive Fantastic Plastic Chicken;payment;59129;tangible Mississippi;2019-10-26
5;Developer;Svalbard & Jan Mayen Islands;hard drive Robust Networked;57410;North Collin;Dynamic;2019-10-26;Montana;Corporate Phased relationships;75555;User-centric;2019-10-26
6;neutral Salad;Uganda;virtual deposit;48214-8853;Cartwrightside;support Gorgeous;2019-10-26;synergies copying;ability Hat Iraq;48482;Bahamian Dollar;2019-10-26
7;User-centric Gloves;Cuba;Oklahoma facilitate;92922;Jerrychester;Plastic;2019-10-25;mission-critical;Berkshire Small Plastic Pants Investor;23956;Granite Berkshire Designer;2019-10-26
8;Bulgarian Lev navigate;Djibouti;transmitter;46963;Raymundoton;hacking installation magenta;2019-10-26;Kentucky Algerian Dinar Clothing;open-source turn-key;9617;Quality;2019-10-26
9;Cambridgeshire hacking;Pakistan;bandwidth azure;86226-1895;Juniusberg;Executive;2019-10-25;Virginia THX pink;cross-media;72595;Internal AI optical;2019-10-26
10;Unbranded Cheese Dynamic;Mozambique;Tools Unbranded;90213-5464;Zaneberg;driver;2019-10-26;circuit navigate;program alarm;30806;Benin Berkshire;2019-10-26
